Nutrition,Egg McMuffin,Egg White Delight,Sausage McMuffin,Sausage McMuffin with Egg,Sausage McMuffin with Egg Whites,Steak & Egg McMuffin,"Bacon, Egg & Cheese Biscuit (Regular Biscuit)","Bacon, Egg & Cheese Biscuit (Large Biscuit)","Bacon, Egg & Cheese Biscuit with Egg Whites (Regular Biscuit)","Bacon, Egg & Cheese Biscuit with Egg Whites (Large Biscuit)",Sausage Biscuit (Regular Biscuit),Sausage Biscuit (Large Biscuit),Sausage Biscuit with Egg (Regular Biscuit),Sausage Biscuit with Egg (Large Biscuit),Sausage Biscuit with Egg Whites (Regular Biscuit),Sausage Biscuit with Egg Whites (Large Biscuit),Southern Style Chicken Biscuit (Regular Biscuit),Southern Style Chicken Biscuit (Large Biscuit),Steak & Egg Biscuit (Regular Biscuit),"Bacon, Egg & Cheese McGriddles","Bacon, Egg & Cheese McGriddles with Egg Whites",Sausage McGriddles,"Sausage, Egg & Cheese McGriddles","Sausage, Egg & Cheese McGriddles with Egg Whites","Bacon, Egg & Cheese Bagel","Bacon, Egg & Cheese Bagel with Egg Whites","Steak, Egg & Cheese Bagel",Big Breakfast (Regular Biscuit),Big Breakfast (Large Biscuit),Big Breakfast with Egg Whites (Regular Biscuit),Big Breakfast with Egg Whites (Large Biscuit),Big Breakfast with Hotcakes (Regular Biscuit),Big Breakfast with Hotcakes (Large Biscuit),Big Breakfast with Hotcakes and Egg Whites (Regular Biscuit),Big Breakfast with Hotcakes and Egg Whites (Large Biscuit),Hotcakes,Hotcakes and Sausage,Sausage Burrito,Hash Brown,Cinnamon Melts,Fruit & Maple Oatmeal,Fruit & Maple Oatmeal without Brown Sugar,Big Mac,Quarter Pounder with Cheese,Quarter Pounder with Bacon & Cheese,Quarter Pounder with Bacon Habanero Ranch,Quarter Pounder Deluxe,Double Quarter Pounder with Cheese,Hamburger,Cheeseburger,Double Cheeseburger,Bacon Clubhouse Burger,McDouble,Bacon McDouble,Daily Double,Jalape̱o Double,McRib,Premium Crispy Chicken Classic Sandwich,Premium Grilled Chicken Classic Sandwich,Premium Crispy Chicken Club Sandwich,Premium Grilled Chicken Club Sandwich,Premium Crispy Chicken Ranch BLT Sandwich,Premium Grilled Chicken Ranch BLT Sandwich,Bacon Clubhouse Crispy Chicken Sandwich,Bacon Clubhouse Grilled Chicken Sandwich,Southern Style Crispy Chicken Sandwich,McChicken,Bacon Cheddar McChicken,Bacon Buffalo Ranch McChicken,Buffalo Ranch McChicken,Premium McWrap Chicken & Bacon (Crispy Chicken),Premium McWrap Chicken & Bacon (Grilled Chicken),Premium McWrap Chicken & Ranch (Crispy Chicken),Premium McWrap Chicken & Ranch (Grilled Chicken),Premium McWrap Southwest Chicken (Crispy Chicken),Premium McWrap Southwest Chicken (Grilled Chicken),Premium McWrap Chicken Sweet Chili (Crispy Chicken),Premium McWrap Chicken Sweet Chili (Grilled Chicken),Chicken McNuggets (4 piece),Chicken McNuggets (6 piece),Chicken McNuggets (10 piece),Chicken McNuggets (20 piece),Filet-O-Fish,Premium Bacon Ranch Salad (without Chicken),Premium Bacon Ranch Salad with Crispy Chicken,Premium Bacon Ranch Salad with Grilled Chicken,Premium Southwest Salad (without Chicken),Premium Southwest Salad with Crispy Chicken,Premium Southwest Salad with Grilled Chicken,Chipotle BBQ Snack Wrap (Crispy Chicken),Chipotle BBQ Snack Wrap (Grilled Chicken),Honey Mustard Snack Wrap (Crispy Chicken),Honey Mustard Snack Wrap (Grilled Chicken),Ranch Snack Wrap (Crispy Chicken),Ranch Snack Wrap (Grilled Chicken),Small French Fries,Medium French Fries,Large French Fries,Kids French Fries,Side Salad,Apple Slices,Fruit 'n Yogurt Parfait,Baked Apple Pie,Chocolate Chip Cookie,Oatmeal Raisin Cookie,Kids Ice Cream Cone,Hot Fudge Sundae,Hot Caramel Sundae,Strawberry Sundae,Coca-Cola Classic (Small),Coca-Cola Classic (Medium),Coca-Cola Classic (Large),Coca-Cola Classic (Child),Diet Coke (Small),Diet Coke (Medium),Diet Coke (Large),Diet Coke (Child),Dr Pepper (Small),Dr Pepper (Medium),Dr Pepper (Large),Dr Pepper (Child),Diet Dr Pepper (Small),Diet Dr Pepper (Medium),Diet Dr Pepper (Large),Diet Dr Pepper (Child),Sprite (Small),Sprite (Medium),Sprite (Large),Sprite (Child),1% Low Fat Milk Jug,Fat Free Chocolate Milk Jug,Minute Maid 100% Apple Juice Box,Minute Maid Orange Juice (Small),Minute Maid Orange Juice (Medium),Minute Maid Orange Juice (Large),Dasani Water Bottle
Total Fat,13,8,23,28,23,23,26,30,20,25,27,31,33,37,27,32,20,24,32,21,15,22,31,26,31,25,35,48,52,37,41,56,60,46,50,9,24,16,9,19,4,4,27,26,29,31,27,43,8,11,21,40,17,22,22,23,26,22,9,33,20,28,15,38,25,19,16,24,21,16,32,19,31,18,33,20,23,10,12,18,30,59,19,7,21,8,4.5,22,8,15,8,15,8,20,13,11,16,24,5,0,0,2,13,8,6,1.5,9,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0
Saturated Fat,5,3,8,10,8,9,13,14,11,12,12,13,14,15,12,13,8,9,16,9,7,8,12,10,11,9,13,17,18,14,14,19,20,16,16,2,7,7,1.5,9,1.5,1.5,10,12,13,13,11,19,3,5,10,15,8,10,9,9,10,3.5,2,9,7,6,4.5,10,8,3,3,7,5,3,9,7,8,6,8,6,4.5,3,2,3,5,10,4,3.5,6,4,2,4.5,2.5,4.5,3.5,4.5,3.5,5,4.5,1.5,2.5,3.5,1,0,0,1,7,3.5,2.5,1,7,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0
Trans Fat,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.5,0.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.5,1.5,1.5,1.5,2.5,0,0.5,1,1.5,1,1,1,1,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cholesterol,260,25,45,285,50,300,250,250,35,35,30,30,250,250,35,35,30,30,280,250,35,35,265,50,275,60,295,555,555,35,35,575,575,55,55,20,50,115,0,15,5,5,85,95,105,105,85,160,30,45,90,115,75,90,80,80,70,45,65,85,105,70,90,90,110,45,35,65,50,35,80,95,65,80,60,80,50,65,25,40,65,135,40,25,70,85,10,50,70,30,40,35,45,40,45,0,0,0,0,0,0,5,0,10,10,5,25,30,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,0,0,0,0,0
Sodium,0.75,0.77,0.78,0.86,0.88,0.96,1.3,1.41,1.3,1.42,1.08,1.19,1.17,1.28,1.18,1.29,1.18,1.29,1.47,1.25,1.25,1.03,1.32,1.32,1.48,1.48,1.51,1.56,1.68,1.59,1.7,2.15,2.26,2.17,2.29,0.59,0.93,0.79,0.31,0.37,0.16,0.115,0.96,1.1,1.44,1.18,0.96,1.28,0.48,0.68,1.04,1.47,0.84,1.11,0.76,1.03,0.98,0.99,0.82,1.41,1.25,1.4,1.23,1.72,1.56,0.91,0.8,1.26,1.26,0.99,1.54,1.37,1.34,1.17,1.48,1.32,1.26,1.09,0.36,0.54,0.9,1.8,0.59,0.3,0.86,0.69,0.15,0.85,0.68,0.78,0.7,0.73,0.65,0.81,0.72,0.13,0.19,0.29,0.065,0.01,0,0.07,0.17,0.09,0.135,0.02,0.17,0.15,0.085,0,0.005,0.005,0,0.01,0.02,0.035,0.015,0.045,0.065,0.09,0.03,0.07,0.1,0.14,0.05,0.03,0.045,0.06,0.025,0.125,0.135,0.015,0,0,0.005,0
Carbohydrates,31,30,29,30,30,31,38,43,36,42,34,39,36,42,34,40,41,46,38,48,47,44,48,46,57,55,56,51,56,50,55,111,116,110,115,60,61,26,15,66,58,49,47,41,48,46,45,42,32,33,35,51,34,35,34,35,44,55,42,58,44,57,43,65,51,43,40,43,41,40,56,42,56,42,68,55,61,47,12,18,30,59,39,10,22,8,20,42,28,37,30,34,27,32,25,30,44,67,15,4,4,30,32,21,22,7,53,60,49,39,55,76,28,0,0,0,0,37,53,72,27,0,0,0,0,37,54,74,27,12,23,21,34,44,65,0
Dietary Fiber,4,4,4,4,4,4,2,3,2,3,2,3,2,3,2,3,2,3,2,2,2,2,2,2,3,3,3,3,4,3,4,6,7,6,7,3,3,1,2,3,5,5,3,3,3,3,3,3,1,2,2,4,2,2,2,2,3,3,3,3,3,3,3,4,4,2,2,2,2,2,3,3,3,3,5,5,3,3,1,1,2,3,2,3,2,2,6,7,7,1,1,1,1,1,1,2,4,5,1,1,0,1,4,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Sugars,3,3,2,2,2,3,3,4,3,4,2,3,2,3,3,3,3,4,3,15,16,15,15,15,7,8,7,3,3,3,4,17,17,17,18,14,14,2,0,32,32,18,9,10,12,10,9,10,6,7,7,14,7,7,7,6,11,10,8,11,9,11,9,16,14,7,5,6,6,5,7,6,8,6,12,10,14,12,0,0,0,0,5,4,5,4,6,12,10,8,7,3,2,3,2,0,0,0,0,2,3,23,13,15,13,6,48,43,45,39,55,76,28,0,0,0,0,35,51,70,26,0,0,0,0,37,54,74,27,12,22,19,30,39,58,0
Protein,17,18,14,21,21,26,19,19,20,20,11,11,18,18,18,18,17,17,25,19,20,11,20,21,30,30,33,28,28,26,26,36,36,35,35,8,15,12,1,6,5,5,24,30,37,37,29,48,12,15,24,39,22,27,22,22,22,24,28,36,40,32,36,36,40,21,14,22,20,14,32,36,27,30,27,31,23,27,9,13,22,44,15,9,25,29,6,23,27,14,16,14,16,15,16,2,4,6,1,1,0,4,2,2,2,1,8,7,6,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,1,0,0,0,0,8,9,0,2,3,4,0
