date,iso_a3,currency_code,name,local_price,dollar_ex,dollar_price,USD_raw
1/07/2020,ARE,AED,United Arab Emirates,14.75,3.67295,4.015845574,-0.2967
1/07/2020,ARG,ARS,Argentina,250,71.24065,3.50923244,-0.38542
1/07/2020,AUS,AUD,Australia,6.55,1.430615165,4.57845,-0.19817
1/07/2020,AZE,AZN,Azerbaijan,3.95,1.699,2.324896998,-0.59284
1/07/2020,BHR,BHD,Bahrain,1.4,0.37705,3.713035406,-0.34973
1/07/2020,BRA,BRL,Brazil,20.9,5.34045,3.913527886,-0.31462
1/07/2020,CAN,CAD,Canada,6.88,1.3552,5.07674144,-0.1109
1/07/2020,CHE,CHF,Switzerland,6.5,0.94125,6.905710491,0.20941
1/07/2020,CHL,CLP,Chile,2740,787.7,3.478481655,-0.39081
1/07/2020,CHN,CNY,China,21.7,7.0035,3.098450775,-0.45736
1/07/2020,COL,COP,Colombia,11900,3617.01,3.290010257,-0.42382
1/07/2020,CRI,CRC,Costa Rica,2350,581.825,4.039015168,-0.29264
1/07/2020,CZE,CZK,Czech Republic,89,23.4134,3.801242024,-0.33428
1/07/2020,DNK,DKK,Denmark,30,6.54935,4.580607236,-0.19779
1/07/2020,EGY,EGP,Egypt,42,15.95,2.63322884,-0.53884
1/07/2020,EUZ,EUR,Euro area,4.21,0.879623521,4.7861385,-0.1618
1/07/2020,GBR,GBP,Britain,3.39,0.79255003,4.2773325,-0.2509
1/07/2020,GTM,GTQ,Guatemala,25,7.693,3.249707526,-0.43087
1/07/2020,HKG,HKD,Hong Kong,20.5,7.75095,2.644837084,-0.53681
1/07/2020,HND,HNL,Honduras,87,24.6907,3.523593904,-0.38291
1/07/2020,HRV,HRK,Croatia,22,6.6272,3.319652342,-0.41862
1/07/2020,HUN,HUF,Hungary,900,311.37795,2.890378076,-0.4938
1/07/2020,IDN,IDR,Indonesia,34000,14435,2.355386214,-0.5875
1/07/2020,IND,INR,India,190,75.1975,2.526679743,-0.5575
1/07/2020,ISR,ILS,Israel,17,3.4367,4.946605756,-0.13369
1/07/2020,JOR,JOD,Jordan,2.3,0.709,3.244005642,-0.43187
1/07/2020,JPN,JPY,Japan,390,107.275,3.635516197,-0.36331
1/07/2020,KOR,KRW,South Korea,4500,1200.95,3.747033598,-0.34378
1/07/2020,KWT,KWD,Kuwait,1.15,0.3078,3.736192333,-0.34568
1/07/2020,LBN,LBP,Lebanon,9000,1512,5.952380952,0.04245
1/07/2020,LKA,LKR,Sri Lanka,680,185.85,3.658864676,-0.35922
1/07/2020,MDA,MDL,Moldova,47,17.075,2.752562225,-0.51794
1/07/2020,MEX,MXN,Mexico,50,22.436,2.228561241,-0.60971
1/07/2020,MYS,MYR,Malaysia,9.99,4.2655,2.342046653,-0.58983
1/07/2020,NIC,NIO,Nicaragua,120,34.3752,3.49088878,-0.38864
1/07/2020,NOR,NOK,Norway,52,9.37105,5.549004647,-0.0282
1/07/2020,NZL,NZD,New Zealand,6.6,1.51779616,4.34841,-0.23846
1/07/2020,OMN,OMR,Oman,1.1,0.385,2.857142857,-0.49962
1/07/2020,PAK,PKR,Pakistan,550,166.5,3.303303303,-0.42149
1/07/2020,PER,PEN,Peru,11.9,3.4973,3.402624882,-0.40409
1/07/2020,PHL,PHP,Philippines,142,49.426,2.872981831,-0.49685
1/07/2020,POL,PLN,Poland,11,3.94345,2.789435646,-0.51148
1/07/2020,QAT,QAR,Qatar,13,3.641,3.570447679,-0.3747
1/07/2020,ROU,RON,Romania,9.9,4.26005,2.323916386,-0.59301
1/07/2020,RUS,RUB,Russia,135,70.585,1.91258766,-0.66505
1/07/2020,SAU,SAR,Saudi Arabia,14,3.75105,3.732288293,-0.34636
1/07/2020,SGP,SGD,Singapore,5.9,1.3876,4.251945806,-0.25535
1/07/2020,SWE,SEK,Sweden,52.6,9.1384,5.755931016,0.00804
1/07/2020,THA,THB,Thailand,128,31.385,4.078381392,-0.28575
1/07/2020,TUR,TRY,Turkey,13.99,6.8595,2.039507253,-0.64282
1/07/2020,TWN,TWD,Taiwan,72,29.4565,2.444282247,-0.57193
1/07/2020,UKR,UAH,Ukraine,59,27.13,2.174714338,-0.61914
1/07/2020,URY,UYU,Uruguay,189,43.675,4.327418432,-0.24213
1/07/2020,USA,USD,United States,5.71,1,5.71,0
1/07/2020,VNM,VND,Vietnam,66000,23180,2.84728214,-0.50135
1/07/2020,ZAF,ZAR,South Africa,31,16.6725,1.859349228,-0.67437
